City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,lorengau,-2.0226,147.2712,29.57,73,8,3.53,PG,1717914676
127,kerikeri,-35.2268,173.9474,17.17,95,100,1.34,NZ,1717914677
128,calatagan,13.8833,120.65,30.06,70,74,2.1,PH,1717914679
129,strasburg,48.5834,7.743,18.01,63,0,4.63,FR,1717914640
130,voranava,54.1483,25.3131,13.13,88,100,5.84,BY,1717914683
131,khandyga,62.6667,135.6,19.94,22,65,2.05,RU,1717914684
132,lubango,-14.9172,13.4925,12.92,58,20,3.09,AO,1717914685
133,warrnambool,-38.3833,142.4833,11.91,72,95,3.25,AU,1717914687
134,kiunga,-6.1219,141.2906,27.95,84,35,1.93,PG,1717914689
135,tharyarwady,17.65,95.8,33.9,54,100,2.42,MM,1717914691
136,an nuhud,12.7,28.4333,31.79,43,51,7.56,SD,1717914692
137,saipan,15.1355,145.701,32.39,62,40,6.17,MP,1717914608
138,mana,5.6592,-53.7767,24.55,90,91,2.26,GF,1717914694
139,port lincoln,-34.7333,135.8667,16.66,49,100,2.18,AU,1717914666
140,nadym,65.5333,72.5167,9.42,53,1,2.37,RU,1717914697
141,bagua grande,-5.7561,-78.4411,24.09,81,98,0.57,PE,1717914699
142,akureyri,65.6835,-18.0878,3.96,93,100,1.03,IS,1717914484
143,carnarvon,-24.8667,113.6333,23.98,70,100,7.84,AU,1717914701
144,punta gorda,26.9298,-82.0454,28.89,87,0,0.0,US,1717914702
145,jiagedaqi,50.4167,124.1167,24.67,20,100,1.38,CN,1717914692
146,petropavlovsk-kamchatsky,53.0452,158.6483,13.33,63,75,6.26,RU,1717914450
147,sabang,5.8933,95.3214,29.44,71,71,8.87,ID,1717914560
148,colonia,50.9333,6.95,15.7,76,20,1.54,DE,1717914707
149,thompson,55.7435,-97.8558,5.09,70,20,2.06,CA,1717914708
150,olonkinbyen,70.9221,-8.7187,1.66,94,100,6.92,SJ,1717914709
151,northam,51.0333,-4.2167,12.01,81,5,5.66,GB,1717914711
152,arkhangel'sk,64.5401,40.5433,11.18,100,100,3.0,RU,1717914712
153,hermanus,-34.4187,19.2345,10.45,78,0,3.25,ZA,1717914584
154,labrador city,52.9463,-66.9114,15.66,55,0,3.09,CA,1717914714
155,bargaal,11.2864,51.0773,36.07,37,0,5.93,SO,1717914716
156,lihue,21.9789,-159.3672,27.58,84,20,6.17,US,1717914717
157,jaru,-10.4389,-62.4664,20.53,67,0,1.04,BR,1717914702
158,tsiombe,-25.3,45.4833,18.61,60,93,6.25,MG,1717914719
159,porkhov,57.765,29.5561,15.68,60,77,3.36,RU,1717914543
160,lionel town,17.8101,-77.2406,28.94,90,100,3.99,JM,1717914721
161,uttarkashi,30.7333,78.45,35.13,18,5,3.27,IN,1717914723
162,mount pearl,47.5166,-52.7813,8.51,97,100,3.6,CA,1717914726
163,mandalgovi,45.7625,106.2708,28.65,8,100,7.67,MN,1717914728
164,grand forks,47.9417,-97.4337,12.96,67,0,4.12,US,1717914729
165,haiku-pauwela,20.9219,-156.3051,23.91,80,40,6.69,US,1717914730
166,iskateley,67.6803,53.1512,1.68,86,100,2.68,RU,1717914731
167,okhotsk,59.3833,143.3,7.42,77,50,4.18,RU,1717914733
168,qamdo,31.1667,97.2333,16.26,33,97,2.18,CN,1717914734
169,ikwiriri,-7.9562,38.9716,27.51,53,70,4.49,TZ,1717914735
170,afaahiti,-17.75,-149.2833,24.93,87,80,6.34,PF,1717914736
171,greymouth,-42.4667,171.2,13.43,98,100,4.78,NZ,1717914590
172,gaigeturi,33.4644,126.3183,23.03,73,40,2.57,KR,1717914739
173,vydrino,51.485,104.8461,12.73,73,66,1.63,RU,1717914740
174,badger,64.8,-147.5333,25.14,23,75,2.57,US,1717914741
175,obiaruku,5.8467,6.1526,25.37,92,85,0.47,NG,1717914742
176,bamboo flat,11.7,92.7167,29.05,79,75,4.12,IN,1717914744
177,xichang,27.8964,102.2634,23.84,63,87,2.32,CN,1717914745
178,trutnov,50.561,15.9127,20.72,75,43,1.81,CZ,1717914746
179,island harbour,50.724,-1.2758,12.95,81,1,0.45,GB,1717914747
180,kingston,17.997,-76.7936,28.53,70,20,4.63,JM,1717914703
181,kamina,-8.7386,24.9906,22.27,37,18,4.94,CD,1717914752
182,apahida,46.8167,23.75,20.08,73,0,3.6,RO,1717914754
183,yashkul',46.1711,45.3435,29.08,31,100,0.85,RU,1717914755
184,bikenibeu village,1.3673,173.1241,28.98,84,40,2.06,KI,1717914757
185,anadyr,64.75,177.4833,3.28,81,37,6.0,RU,1717914644
186,mar del plata,-38.0023,-57.5575,17.27,98,100,3.58,AR,1717914430
187,kapuskasing,49.4169,-82.4331,10.05,87,75,1.03,CA,1717914760
188,kavaratti,10.5669,72.642,27.79,85,74,7.56,IN,1717914761
189,jijel,36.8205,5.7667,22.97,43,0,1.54,DZ,1717914636
190,saint-francois,46.4154,3.9054,15.79,94,100,3.6,FR,1717914763
191,uturoa,-16.7333,-151.4333,27.28,75,8,2.84,PF,1717914764
192,prineville,44.2999,-120.8345,21.06,45,100,2.57,US,1717914766
193,namibe,-15.1961,12.1522,20.58,75,0,1.75,AO,1717914767
194,kudahuvadhoo,2.6708,72.8944,28.69,74,62,4.8,MV,1717914723
195,anton,8.4,-80.2667,28.08,84,83,1.28,PA,1717914769
196,eyl,7.9803,49.8164,32.58,45,99,12.39,SO,1717914770
197,nar'yan-mar,67.6713,53.087,1.73,86,100,2.68,RU,1717914772
198,dzhalagash,45.0833,64.6667,36.6,15,100,3.59,KZ,1717914773
199,tamasi,46.6333,18.2833,20.38,70,99,4.01,HU,1717914775
200,nouadhibou,20.931,-17.0347,19.99,88,0,8.75,MR,1717914776
201,aripuana,-9.1667,-60.6333,20.31,65,43,0.85,BR,1717914687
202,lebu,-37.6167,-73.65,12.19,88,100,6.32,CL,1717914781
203,battambang,13.1027,103.1982,33.24,53,100,5.72,KH,1717914782
204,gebeit,21.0667,36.3167,40.0,14,6,2.54,SD,1717914784
205,el calafate,-50.3408,-72.2768,1.86,98,100,3.98,AR,1717914785
206,kharkhorin,47.1975,102.8238,25.05,26,0,4.28,MN,1717914786
207,aasiaat,68.7098,-52.8699,0.44,89,95,2.29,GL,1717914788
208,mount gambier,-37.8333,140.7667,13.45,55,5,2.5,AU,1717914575
209,san pedro pochutla,15.7333,-96.4667,24.63,91,100,1.23,MX,1717914790
210,cuenca,-2.8833,-78.9833,12.49,99,100,1.21,EC,1717914791
211,al jawf,29.5,38.75,34.58,17,0,4.64,SA,1717914792
212,kharp,66.8014,65.8081,5.95,85,37,1.47,RU,1717914794
213,green river,41.5286,-109.4662,17.33,53,24,1.99,US,1717914795
214,cody,44.5263,-109.0565,18.12,55,0,4.12,US,1717914798
215,new norfolk,-42.7826,147.0587,9.95,65,76,0.71,AU,1717914579
216,mejit,10.2753,170.8646,28.65,77,56,4.6,MH,1717914801
217,san antonio de pale,-1.4014,5.6325,24.69,79,18,5.91,GQ,1717914802
218,port douglas,-16.4833,145.4667,21.84,69,12,5.29,AU,1717914803
219,keflavik,64.0049,-22.5624,7.24,70,0,1.54,IS,1717914804
220,baoqing,46.3317,132.2111,16.87,89,99,2.4,CN,1717914807
221,kapa'a,22.0752,-159.319,27.99,87,20,6.17,US,1717914808
222,primorsko-akhtarsk,46.0497,38.1747,25.03,56,4,2.76,RU,1717914541
223,ballina,-28.8667,153.5667,20.43,62,100,0.7,AU,1717914812
224,mutuali,-14.8706,37.0044,21.3,67,92,2.32,MZ,1717914813
225,north battleford,52.7834,-108.2847,7.05,93,100,2.57,CA,1717914668
226,bodaybo,57.8506,114.1933,18.31,51,13,0.52,RU,1717914625
227,sisimiut,66.9395,-53.6735,1.47,97,100,5.06,GL,1717914818
228,hassi messaoud,31.6804,6.0729,32.92,8,20,3.09,DZ,1717914636
229,coyhaique,-45.5752,-72.0662,3.81,99,100,0.84,CL,1717914615
230,sinabang,2.4803,96.3801,29.14,76,45,2.8,ID,1717914821
231,vorgashor,67.5833,63.95,-1.22,93,44,1.92,RU,1717914634
232,qarauyl,48.9451,79.255,30.63,29,100,4.76,KZ,1717914823
233,el bolson,-41.9667,-71.5167,8.32,97,100,2.33,AR,1717914576
234,georgetown,5.4112,100.3354,32.96,58,20,3.6,MY,1717914600
235,horta,38.5333,-28.6333,18.8,85,40,3.09,PT,1717914827
236,vorkuta,67.5,64.0,-1.05,93,41,0.89,RU,1717914828
237,tazacorte,28.629,-17.9293,19.54,84,75,2.68,ES,1717914829
238,na klang,17.3072,102.1889,31.85,61,100,2.08,TH,1717914830
239,una,20.8167,71.0333,36.62,48,60,2.88,IN,1717914831
240,odessa,46.4775,30.7326,21.56,69,3,2.03,UA,1717914832
241,amurzet,47.6967,131.0981,19.42,72,100,4.38,RU,1717914833
242,mata-utu,-13.2816,-176.1745,28.02,75,87,10.1,WF,1717914835
243,sanibel,26.449,-82.0223,28.9,86,0,1.34,US,1717914836
244,klyuchi,52.2667,79.1667,23.79,62,93,2.35,RU,1717914837
245,kidal,18.4411,1.4078,32.03,34,0,5.57,ML,1717914838
246,yujing,23.1249,120.4614,28.68,65,52,3.13,TW,1717914633
247,conceicao das alagoas,-19.9147,-48.3883,19.88,66,95,2.39,BR,1717914841
248,saint-philippe,-21.3585,55.7679,26.77,78,1,3.81,RE,1717914843
249,obock,12.25,43.0833,33.88,30,5,3.89,DJ,1717914818
250,timbuktu,16.7735,-3.0074,33.4,33,12,5.57,ML,1717914846
251,cidreira,-30.1811,-50.2056,16.81,93,17,2.87,BR,1717914847
252,batangafo,7.3008,18.2833,27.46,62,98,2.22,CF,1717914848
253,papao,-17.75,-149.55,25.82,77,11,3.34,PF,1717914849
254,smithers,54.7804,-127.1743,19.18,34,100,2.06,CA,1717914850
255,constanti,41.1536,1.2106,21.88,87,75,4.47,ES,1717914851
256,puerto lempira,15.2667,-83.7667,26.4,92,100,2.01,HN,1717914853
257,vredendal,-31.6683,18.5012,15.0,43,51,4.02,ZA,1717914854
258,brixham,50.3943,-3.5159,13.37,86,0,2.86,GB,1717914855
259,moses lake,47.1301,-119.2781,20.38,39,0,1.54,US,1717914702
